model,accuracy,precision,recall,f1,roc_auc,threshold,pipeline,cv_f1_std,cv_roc_auc_std,n_features,cv_std_for_rank
Random Forest,0.9069767441860463,0.8857142857142857,1.0,0.9393939393939394,0.935483870967742,0.53,lasso,0.0491364745492428,0.1033962478908487,8,0.1033962478908487
XGBoost,0.9069767441860463,0.8857142857142857,1.0,0.9393939393939394,0.8575268817204301,0.53,lasso,0.0419375512713207,0.0411093946945182,8,0.0419375512713207
MLP,0.8837209302325582,0.8611111111111112,1.0,0.9253731343283582,0.9704301075268816,0.39,no_fs,0.0616293282196191,0.1173378097018259,22,0.1173378097018259
MLP,0.8837209302325582,0.8611111111111112,1.0,0.9253731343283582,0.9704301075268816,0.39,t_test,0.0616293282196191,0.1173378097018259,22,0.1173378097018259
MLP,0.8837209302325582,0.8611111111111112,1.0,0.9253731343283582,0.9704301075268816,0.39,extratrees,0.0616293282196191,0.1173378097018259,22,0.1173378097018259
Logistic Regression,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9758064516129032,0.46,lasso,0.0499218451396193,0.2386650358555618,3,0.2386650358555618
Logistic Regression,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9731182795698924,0.4,extratrees,0.040485521616569,0.1087363174657213,5,0.1087363174657213
Logistic Regression,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9704301075268816,0.49,no_fs,0.0608872188111969,0.2706115726790443,22,0.2706115726790443
Random Forest,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9650537634408602,0.3,no_fs,0.059540924629798,0.1154359590150026,22,0.1154359590150026
Logistic Regression,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9274193548387096,0.47,t_test,0.0464911326627969,0.1004489801426525,5,0.1004489801426525
MLP,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9166666666666669,0.52,lasso,0.0265532332343693,0.1462043228632228,2,0.1462043228632228
Random Forest,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823528,0.9166666666666666,0.25,extratrees,0.0527832344147028,0.3417371946023539,8,0.3417371946023539
Linear SVM,0.7906976744186046,0.775,1.0,0.8732394366197183,0.9919354838709676,0.17,no_fs,0.0854386779595513,0.1215106516655247,22,0.1215106516655247
Linear SVM,0.7906976744186046,0.775,1.0,0.8732394366197183,0.9919354838709676,0.17,t_test,0.0854386779595513,0.1215106516655247,22,0.1215106516655247
Linear SVM,0.7906976744186046,0.775,1.0,0.8732394366197183,0.9919354838709676,0.17,lasso,0.0854386779595513,0.1215106516655247,22,0.1215106516655247
Linear SVM,0.7906976744186046,0.775,1.0,0.8732394366197183,0.9919354838709676,0.17,extratrees,0.0854386779595513,0.1215106516655247,22,0.1215106516655247
Random Forest,0.7906976744186046,0.775,1.0,0.8732394366197183,0.9690860215053764,0.21,t_test,0.0460555028883095,0.1802175105289243,8,0.1802175105289243
XGBoost,0.7906976744186046,0.775,1.0,0.8732394366197183,0.8951612903225805,0.51,no_fs,0.0515241403810938,0.0842047066598223,22,0.0842047066598223
XGBoost,0.7906976744186046,0.775,1.0,0.8732394366197183,0.8951612903225805,0.51,t_test,0.0515241403810938,0.0842047066598223,22,0.0842047066598223
XGBoost,0.7906976744186046,0.775,1.0,0.8732394366197183,0.8951612903225805,0.51,extratrees,0.0515241403810938,0.0842047066598223,22,0.0842047066598223
